Property Name,Date,Valuation
Roseberry,3/31/2022,9.45
Mojave,3/31/2022,10.13
Cupcake,3/31/2022,10.16
Holland,3/31/2022,10.16
Lily,3/31/2022,10.17
Patrick,3/31/2022,10.19
Kingsley,3/31/2022,10.2
Weldon,3/31/2022,10.2
Coatbridge,3/31/2022,10.2
Wentworth,3/31/2022,10.22
Saturn,3/31/2022,10.24
Ridge,3/31/2022,10.25
Amber,3/31/2022,10.27
Basil,3/31/2022,10.28
Dewberry,3/31/2022,10.28
Odessa,3/31/2022,10.3
Westchester,3/31/2022,10.34
Splash,3/31/2022,10.37
Bayside,3/31/2022,10.37
Lennox,3/31/2022,10.4
Dawson,3/31/2022,10.45
Sugar,3/31/2022,10.47
Spencer,3/31/2022,10.47
Holloway,3/31/2022,10.49
Olive,3/31/2022,10.49
Windsor,3/31/2022,10.5
Summerset,3/31/2022,10.52
Saddlebred,3/31/2022,10.54
Elevation,3/31/2022,10.56
Badminton,3/31/2022,10.6
Eastfair,3/31/2022,10.67
Lallie,3/31/2022,10.67
Shoreline,3/31/2022,10.68
Jupiter,3/31/2022,10.69
Elm,3/31/2022,10.75
River,3/31/2022,10.79
Tuscan,3/31/2022,10.83
Luna,3/31/2022,10.86
Centennial,3/31/2022,11.18
Plumtree,3/31/2022,11.21
Pinot,3/31/2022,11.22
Chaparral,3/31/2022,11.25
Malbec,3/31/2022,11.26
Pecan,3/31/2022,11.57
Salem,3/31/2022,11.57
Soapstone,3/31/2022,16.66
Lierly,3/31/2022,17.25
Lierly,6/30/2022,20.22
Soapstone,6/30/2022,18.76
Pecan,6/30/2022,12.96
Patrick,6/30/2022,11.39
Plumtree,6/30/2022,12.3
Chaparral,6/30/2022,12.38
Splash,6/30/2022,11.81
Tuscan,6/30/2022,11.91
Salem,6/30/2022,12.82
Malbec,6/30/2022,12.56
Pinot,6/30/2022,12.59
Luna,6/30/2022,12.41
Kingsley,6/30/2022,11.92
Shoreline,6/30/2022,11.72
Holloway,6/30/2022,12.6
Badminton,6/30/2022,12.13
Eastfair,6/30/2022,12.03
Centennial,6/30/2022,13.15
Mojave,6/30/2022,10.86
Wentworth,6/30/2022,10.76
Cupcake,6/30/2022,11.66
Basil,6/30/2022,11.7
Lallie,6/30/2022,11.57
Dewberry,6/30/2022,10.98
Spencer,6/30/2022,12.67
Summerset,6/30/2022,12.3
Roseberry,6/30/2022,11.37
Windsor,6/30/2022,12.07
Forest,6/30/2022,11.16
Meadow,6/30/2022,10.74
Collinston,6/30/2022,10.48
Saddlebred,6/30/2022,10.28
Odessa,6/30/2022,11.47
Lily,6/30/2022,10.58
Saturn,6/30/2022,10.79
Sugar,6/30/2022,11.5
Coatbridge,6/30/2022,11.04
Lennox,6/30/2022,10.84
Olive,6/30/2022,11.23
Dawson,6/30/2022,11.16
Ridge,6/30/2022,10.84
Bayside,6/30/2022,11.34
Elm,6/30/2022,11.16
River,6/30/2022,12.27
Amber,6/30/2022,11.06
Westchester,6/30/2022,11.07
Limestone,6/30/2022,10.9
Jupiter,6/30/2022,11.15
Weldon,6/30/2022,10.78
Holland,6/30/2022,10.34
Elevation,6/30/2022,12.04
Roseberry,9/30/2022,12.69
Mojave,9/30/2022,13.78
Cupcake,9/30/2022,13.85
Holland,9/30/2022,12.44
Lily,9/30/2022,10.89
Patrick,9/30/2022,12.99
Kingsley,9/30/2022,13.51
Weldon,9/30/2022,12.79
Coatbridge,9/30/2022,12.21
Wentworth,9/30/2022,12.72
Saturn,9/30/2022,12.5
Ridge,9/30/2022,12.55
Amber,9/30/2022,12.58
Basil,9/30/2022,13.33
Dewberry,9/30/2022,11.67
Odessa,9/30/2022,11.43
Westchester,9/30/2022,12.15
Splash,9/30/2022,13.56
Bayside,9/30/2022,12.55
Lennox,9/30/2022,10.91
Dawson,9/30/2022,12.26
Sugar,9/30/2022,12.75
Spencer,9/30/2022,12.74
Holloway,9/30/2022,13.24
Olive,9/30/2022,11.46
Windsor,9/30/2022,13.36
Summerset,9/30/2022,13.74
Saddlebred,9/30/2022,9.79
Elevation,9/30/2022,13.42
Badminton,9/30/2022,13.42
Eastfair,9/30/2022,14.03
Lallie,9/30/2022,13.44
Shoreline,9/30/2022,13.24
Jupiter,9/30/2022,12.26
Elm,9/30/2022,12.71
River,9/30/2022,13.52
Tuscan,9/30/2022,12.4
Luna,9/30/2022,14.39
Centennial,9/30/2022,14.05
Plumtree,9/30/2022,13.24
Pinot,9/30/2022,13.66
Chaparral,9/30/2022,13.03
Malbec,9/30/2022,13.59
Pecan,9/30/2022,14.82
Salem,9/30/2022,14.4
