Property Name,Dividend Date,dividend_per_share
Lierly,6/30/2021,$0.14
Soapstone,6/30/2021,$0.13
Pecan,6/30/2021,$0.14
Patrick,6/30/2021,$0.15
Plumtree,6/30/2021,$0.16
Chaparral,6/30/2021,$0.16
Lierly,9/30/2021,$0.16
Soapstone,9/30/2021,$0.14
Pecan,9/30/2021,$0.15
Patrick,9/30/2021,$0.16
Plumtree,9/30/2021,$0.19
Chaparral,9/30/2021,$0.17
Splash,9/30/2021,$0.15
Tuscan,9/30/2021,$0.15
Salem,9/30/2021,$0.15
Malbec,9/30/2021,$0.15
Pinot,9/30/2021,$0.15
Luna,9/30/2021,$0.15
Kingsley,9/30/2021,$0.15
Shoreline,9/30/2021,$0.05
Holloway,9/30/2021,$0.10
Badminton,9/30/2021,$0.05
Eastfair,9/30/2021,$0.05
Centennial,9/30/2021,$0.15
Mojave,9/30/2021,$0.05
Wentworth,9/30/2021,$0.05
Cupcake,9/30/2021,$0.05
Basil,9/30/2021,$0.05
Lallie,9/30/2021,$0.05
Dewberry,9/30/2021,$0.10
Spencer,9/30/2021,$0.15
Summerset,9/30/2021,$0.05
Roseberry,9/30/2021,$0.10
Windsor,9/30/2021,$0.05
Lierly,12/31/2021,$0.16
Soapstone,12/31/2021,$0.15
Pecan,12/31/2021,$0.15
Patrick,12/31/2021,$0.16
Plumtree,12/31/2021,$0.19
Chaparral,12/31/2021,$0.17
Splash,12/31/2021,$0.15
Tuscan,12/31/2021,$0.15
Salem,12/31/2021,$0.15
Malbec,12/31/2021,$0.15
Pinot,12/31/2021,$0.15
Luna,12/31/2021,$0.15
Kingsley,12/31/2021,$0.15
Shoreline,12/31/2021,$0.13
Holloway,12/31/2021,$0.13
Badminton,12/31/2021,$0.15
Eastfair,12/31/2021,$0.15
Centennial,12/31/2021,$0.12
Mojave,12/31/2021,$0.15
Wentworth,12/31/2021,$0.15
Cupcake,12/31/2021,$0.15
Basil,12/31/2021,$0.13
Lallie,12/31/2021,$0.13
Dewberry,12/31/2021,$0.15
Spencer,12/31/2021,$0.13
Summerset,12/31/2021,$0.13
Roseberry,12/31/2021,$0.13
Windsor,12/31/2021,$0.13
Lierly,3/31/2022,$0.18
Soapstone,3/31/2022,$0.16
Pecan,3/31/2022,$0.16
Patrick,3/31/2022,$0.14
Plumtree,3/31/2022,$0.19
Chaparral,3/31/2022,$0.17
Splash,3/31/2022,$0.16
Tuscan,3/31/2022,$0.16
Salem,3/31/2022,$0.16
Malbec,3/31/2022,$0.16
Pinot,3/31/2022,$0.16
Luna,3/31/2022,$0.13
Kingsley,3/31/2022,$0.13
Shoreline,3/31/2022,$0.13
Holloway,3/31/2022,$0.13
Badminton,3/31/2022,$0.13
Eastfair,3/31/2022,$0.13
Centennial,3/31/2022,$0.12
Mojave,3/31/2022,$0.16
Wentworth,3/31/2022,$0.16
Cupcake,3/31/2022,$0.16
Basil,3/31/2022,$0.13
Lallie,3/31/2022,$0.13
Dewberry,3/31/2022,$0.13
Spencer,3/31/2022,$0.13
Summerset,3/31/2022,$0.13
Roseberry,3/31/2022,$0.13
Windsor,3/31/2022,$0.13
Forest,3/31/2022,$0.13
Meadow,3/31/2022,$0.09
Collinston,3/31/2022,$0.09
Saddlebred,3/31/2022,$0.11
Odessa,3/31/2022,$0.11
Lily,3/31/2022,$0.11
Saturn,3/31/2022,$0.09
Sugar,3/31/2022,$0.10
Coatbridge,3/31/2022,$0.13
Lennox,3/31/2022,$0.13
Olive,3/31/2022,$0.13
Dawson,3/31/2022,$0.13
Ridge,3/31/2022,$0.13
Bayside,3/31/2022,$0.13
Elm,3/31/2022,$0.13
River,3/31/2022,$0.13
Amber,3/31/2022,$0.09
Westchester,3/31/2022,$0.13
Limestone,3/31/2022,$0.13
Jupiter,3/31/2022,$0.09
Weldon,3/31/2022,$0.09
Holland,3/31/2022,$0.09
Elevation,3/31/2022,$0.13
Oly,3/31/2022,$0.11
McLovin,3/31/2022,$0.11
Matchingham,3/31/2022,$0.13
Rooney,3/31/2022,$0.11
Diablo,3/31/2022,$0.10
KerriAnn,3/31/2022,$0.10
Sigma,3/31/2022,$0.10001
Grant,3/31/2022,$0.12
Bandelier,3/31/2022,$0.10
Ensenada,3/31/2022,$0.11
Davidson,3/31/2022,$0.09
Vernon,3/31/2022,$0.13
Murphy,3/31/2022,$0.12
Dolittle,3/31/2022,$0.12
Butter,3/31/2022,$0.13
Ribbonwalk,3/31/2022,$0.09
Scepter,3/31/2022,$0.10
Delta,3/31/2022,$0.08
Saint,3/31/2022,$0.07
Lovejoy,3/31/2022,$0.08
Emporia,3/31/2022,$0.08
Wave,3/31/2022,$0.08
Tuxford,3/31/2022,$0.09
Greenhill,3/31/2022,$0.09
Kawana,3/31/2022,$0.09
Lierly,6/30/2022,$0.18
Soapstone,6/30/2022,$0.16
Pecan,6/30/2022,$0.16
Patrick,6/30/2022,$0.14
Plumtree,6/30/2022,$0.19
Chaparral,6/30/2022,$0.17
Splash,6/30/2022,$0.16
Tuscan,6/30/2022,$0.16
Salem,6/30/2022,$0.16
Malbec,6/30/2022,$0.16
Pinot,6/30/2022,$0.16
Luna,6/30/2022,$0.13
Kingsley,6/30/2022,$0.13
Shoreline,6/30/2022,$0.13
Holloway,6/30/2022,$0.13
Badminton,6/30/2022,$0.13
Eastfair,6/30/2022,$0.13
Centennial,6/30/2022,$0.12
Mojave,6/30/2022,$0.16
Wentworth,6/30/2022,$0.16
Cupcake,6/30/2022,$0.16
Basil,6/30/2022,$0.13
Lallie,6/30/2022,$0.13
Dewberry,6/30/2022,$0.13
Spencer,6/30/2022,$0.13
Summerset,6/30/2022,$0.13
Roseberry,6/30/2022,$0.13
Windsor,6/30/2022,$0.13
Forest,6/30/2022,$0.13
Meadow,6/30/2022,$0.09
Collinston,6/30/2022,$0.09
Saddlebred,6/30/2022,$0.11
Odessa,6/30/2022,$0.11
Lily,6/30/2022,$0.11
Saturn,6/30/2022,$0.09
Sugar,6/30/2022,$0.10
Coatbridge,6/30/2022,$0.13
Lennox,6/30/2022,$0.13
Olive,6/30/2022,$0.13
Dawson,6/30/2022,$0.13
Ridge,6/30/2022,$0.13
Bayside,6/30/2022,$0.13
Elm,6/30/2022,$0.13
River,6/30/2022,$0.13
Amber,6/30/2022,$0.09
Westchester,6/30/2022,$0.13
Limestone,6/30/2022,$0.13
Jupiter,6/30/2022,$0.09
Weldon,6/30/2022,$0.09
Holland,6/30/2022,$0.09
Elevation,6/30/2022,$0.13
Oly,6/30/2022,$0.11
McLovin,6/30/2022,$0.11
Matchingham,6/30/2022,$0.13
Rooney,6/30/2022,$0.11
Diablo,6/30/2022,$0.10
KerriAnn,6/30/2022,$0.10
Sigma,6/30/2022,$0.10
Grant,6/30/2022,$0.12
Bandelier,6/30/2022,$0.10
Ensenada,6/30/2022,$0.11
Davidson,6/30/2022,$0.09
Vernon,6/30/2022,$0.13
Murphy,6/30/2022,$0.12
Dolittle,6/30/2022,$0.12
Butter,6/30/2022,$0.13
Ribbonwalk,6/30/2022,$0.09
Scepter,6/30/2022,$0.10
Delta,6/30/2022,$0.12
Saint,6/30/2022,$0.10
Lovejoy,6/30/2022,$0.12
Emporia,6/30/2022,$0.12
Wave,6/30/2022,$0.12
Tuxford,6/30/2022,$0.13
Greenhill,6/30/2022,$0.13
Kawana,6/30/2022,$0.13
Chelsea,6/30/2022,$0.12
Terracotta,6/30/2022,$0.11
Otoro,6/30/2022,$0.12
Hollandaise,6/30/2022,$0.09
Hadden,6/30/2022,$0.14
Avebury,6/30/2022,$0.11
Tulip,6/30/2022,$0.13
Jack,6/30/2022,$0.09
Bedford,6/30/2022,$0.11
Louise,6/30/2022,$0.14
Gardens,6/30/2022,$0.11
Peanut,6/30/2022,$0.10
100,6/30/2022,$0.06
Grove,6/30/2022,$0.05
Lanier,6/30/2022,$0.05
Mammoth,6/30/2022,$0.05
McGregor,6/30/2022,$0.06
Point,6/30/2022,$0.05
Roxy,6/30/2022,$0.05
Wisteria,6/30/2022,$0.06
Heron,6/30/2022,$0.05
Stonebriar,6/30/2022,$0.06
Heritage,6/30/2022,$0.05
Magnolia,6/30/2022,$0.05
Kirkwood,6/30/2022,$0.05
Rosewood,6/30/2022,$0.05
Apollo,6/30/2022,$0.05
Baron,6/30/2022,$0.05
Swift,6/30/2022,$0.07
Wescott,6/30/2022,$0.05
Wildwood,6/30/2022,$0.05
Madison,6/30/2022,$0.06
Abbington,6/30/2022,$0.05
Burlington,6/30/2022,$0.05
Lannister,6/30/2022,$0.05
Nugget,6/30/2022,$0.05
Pearl,6/30/2022,$0.05
Lierly,9/30/2022,0.19
Patrick,9/30/2022,0.15
Pecan,9/30/2022,0.17
Plumtree,9/30/2022,0.20
Soapstone,9/30/2022,0.16
Chaparral,9/30/2022,0.18
Basil,9/30/2022,0.14
Windsor,9/30/2022,0.14
Roseberry,9/30/2022,0.13
Dewberry,9/30/2022,0.13
Holloway,9/30/2022,0.14
Eastfair,9/30/2022,0.15
Summerset,9/30/2022,0.13
Splash,9/30/2022,0.17
Centennial,9/30/2022,0.12
Spencer,9/30/2022,0.14
Pinot,9/30/2022,0.17
Luna,9/30/2022,0.15
Kingsley,9/30/2022,0.14
Malbec,9/30/2022,0.17
Tuscan,9/30/2022,0.17
Mojave,9/30/2022,0.18
Cupcake,9/30/2022,0.18
Sugar,9/30/2022,0.09
Amber,9/30/2022,0.09
Saturn,9/30/2022,0.08
Holland,9/30/2022,0.09
Elm,9/30/2022,0.13
Limestone,9/30/2022,0.14
Rooney,9/30/2022,0.10
Vernon,9/30/2022,0.12
Murphy,9/30/2022,0.13
Davidson,9/30/2022,0.08
Dolittle,9/30/2022,0.12
Scepter,9/30/2022,0.09
Grant,9/30/2022,0.12
Ribbonwalk,9/30/2022,0.08
KerriAnn,9/30/2022,0.09
Butter,9/30/2022,0.13
Sigma,9/30/2022,0.10
McLovin,9/30/2022,0.11
Bandelier,9/30/2022,0.09
Oly,9/30/2022,0.11
Ensenada,9/30/2022,0.11
Matchingham,9/30/2022,0.14
Diablo,9/30/2022,0.10
Wave,9/30/2022,0.12
Delta,9/30/2022,0.12
Greenhill,9/30/2022,0.13
Emporia,9/30/2022,0.12
Lovejoy,9/30/2022,0.12
Kawana,9/30/2022,0.13
Tuxford,9/30/2022,0.12
Saint,9/30/2022,0.11
Avebury,9/30/2022,0.11
Hadden,9/30/2022,0.14
Chelsea,9/30/2022,0.12
Terracotta,9/30/2022,0.12
Otoro,9/30/2022,0.12
Hollandaise,9/30/2022,0.10
Gardens,9/30/2022,0.11
Louise,9/30/2022,0.14
Peanut,9/30/2022,0.10
Jack,9/30/2022,0.09
Tulip,9/30/2022,0.13
Bedford,9/30/2022,0.12
100,9/30/2022,0.10
Apollo,9/30/2022,0.08
Baron,9/30/2022,0.09
Swift,9/30/2022,0.10
Burlington,9/30/2022,0.09
Nugget,9/30/2022,0.09
Pearl,9/30/2022,0.09
Lannister,9/30/2022,0.08
101,9/30/2022,0.08
Holcomb,9/30/2022,0.08
Hines,9/30/2022,0.09
Latte,9/30/2022,0.08
Ritter,9/30/2022,0.08
Jake,9/30/2022,0.08
Reynolds,9/30/2022,0.08
Lookout,9/30/2022,0.08
Johnny,9/30/2022,0.09
Dunbar,9/30/2022,0.08
June,9/30/2022,0.09
Kennesaw,9/30/2022,0.08
Pioneer,9/30/2022,0.08
Osprey,9/30/2022,0.08
Riverwalk,9/30/2022,0.09
Dorchester,9/30/2022,0.08
Clover,9/30/2022,0.09
Collier,9/30/2022,0.09
Folly,9/30/2022,0.08
Walton,9/30/2022,0.08
Dogwood,9/30/2022,0.08
Conway,9/30/2022,0.09
Loretta,9/30/2022,0.09
Kenny,9/30/2022,0.08
Henry,9/30/2022,0.09
Creekside,9/30/2022,0.09
Daisy,9/30/2022,0.08
Sodalis,9/30/2022,0.08
Chitwood,9/30/2022,0.08
Highland,9/30/2022,0.09
Dolly,9/30/2022,0.08
Spring,9/30/2022,0.08
Willow,9/30/2022,0.08
Belle,9/30/2022,0.08
Wilson,9/30/2022,0.08
Richardson,9/30/2022,0.08
Camino,9/30/2022,0.09
Bonneau,9/30/2022,0.08
Reginald,9/30/2022,0.09
Cumberland,9/30/2022,0.08
Marietta,9/30/2022,0.09
Aster,9/30/2022,0.06
Harrison,9/30/2022,0.06
Cypress,9/30/2022,0.06
Wisteria,9/30/2022,0.09
Wildwood,9/30/2022,0.09
Westchester,9/30/2022,0.13
Wescott,9/30/2022,0.08
Wentworth,9/30/2022,0.18
Weldon,9/30/2022,0.08
Stonebriar,9/30/2022,0.09
Shoreline,9/30/2022,0.14
Salem,9/30/2022,0.17
Saddlebred,9/30/2022,0.10
Roxy,9/30/2022,0.08
Rosewood,9/30/2022,0.08
River,9/30/2022,0.14
Ridge,9/30/2022,0.14
Point,9/30/2022,0.09
Olive,9/30/2022,0.14
Odessa,9/30/2022,0.10
Meadow,9/30/2022,0.08
McGregor,9/30/2022,0.10
Mammoth,9/30/2022,0.08
Magnolia,9/30/2022,0.08
Madison,9/30/2022,0.09
Lily,9/30/2022,0.10
Lennox,9/30/2022,0.14
Lanier,9/30/2022,0.08
Lallie,9/30/2022,0.13
Kirkwood,9/30/2022,0.08
Jupiter,9/30/2022,0.09
Heron,9/30/2022,0.08
Heritage,9/30/2022,0.08
Grove,9/30/2022,0.08
Forest,9/30/2022,0.13
Elevation,9/30/2022,0.13
Dawson,9/30/2022,0.13
Collinston,9/30/2022,0.08
Coatbridge,9/30/2022,0.13
Bayside,9/30/2022,0.14
Badminton,9/30/2022,0.14
Abbington,9/30/2022,0.09
Bazzel,9/30/2022,0.08
Inglewood,9/30/2022,0.00
Wellington,9/30/2022,0.00
Winston,9/30/2022,0.00
Braxton,9/30/2022,0.00
Blossom,9/30/2022,0.00
Marcelo,9/30/2022,0.00
Jill,9/30/2022,0.00
Quincy,9/30/2022,0.00
Taylor,9/30/2022,0.00
Piedmont,9/30/2022,0.00
Chester,9/30/2022,0.00
Shallowford,9/30/2022,0.00
Kessler,9/30/2022,0.00
Mae,9/30/2022,0.00
Creekwood,9/30/2022,0.00
Oasis,9/30/2022,0.00
Mirage,9/30/2022,0.00
Orchard,9/30/2022,0.00
Cardinal,9/30/2022,0.00
Ace,9/30/2022,0.00
Pointbreak,9/30/2022,0.00
Hammock,9/30/2022,0.00
Delta,12/31/2022,0.11
Emporia,12/31/2022,0.11
Lovejoy,12/31/2022,0.12
Wave,12/31/2022,0.11
Grant,12/31/2022,0.12
Lallie,12/31/2022,0.12
Summerset,12/31/2022,0.12
Spencer,12/31/2022,0.15
Windsor,12/31/2022,0.15
Roseberry,12/31/2022,0.13
Sugar,12/31/2022,0.09
Forest,12/31/2022,0.12
Butter,12/31/2022,0.13
Centennial,12/31/2022,0.12
Meadow,12/31/2022,0.08
Collinston,12/31/2022,0.08
Saturn,12/31/2022,0.08
Amber,12/31/2022,0.09
Jupiter,12/31/2022,0.09
Weldon,12/31/2022,0.08
Holland,12/31/2022,0.08
Davidson,12/31/2022,0.08
Ribbonwalk,12/31/2022,0.08
Saddlebred,12/31/2022,0.09
Lily,12/31/2022,0.09
Kingsley,12/31/2022,0.15
Eastfair,12/31/2022,0.16
Luna,12/31/2022,0.16
Dewberry,12/31/2022,0.13
Badminton,12/31/2022,0.15
Coatbridge,12/31/2022,0.13
Lennox,12/31/2022,0.15
Olive,12/31/2022,0.14
Dawson,12/31/2022,0.13
Ridge,12/31/2022,0.14
Bayside,12/31/2022,0.15
Elm,12/31/2022,0.13
Westchester,12/31/2022,0.13
Limestone,12/31/2022,0.15
Greenhill,12/31/2022,0.13
Tuxford,12/31/2022,0.11
Matchingham,12/31/2022,0.15
Murphy,12/31/2022,0.14
Dolittle,12/31/2022,0.12
Odessa,12/31/2022,0.09
Ensenada,12/31/2022,0.11
Oly,12/31/2022,0.11
McLovin,12/31/2022,0.11
Holloway,12/31/2022,0.15
Basil,12/31/2022,0.15
Shoreline,12/31/2022,0.15
River,12/31/2022,0.15
Elevation,12/31/2022,0.12
Vernon,12/31/2022,0.11
Kawana,12/31/2022,0.12
Plumtree,12/31/2022,0.20
Chaparral,12/31/2022,0.18
Lierly,12/31/2022,0.19
Patrick,12/31/2022,0.15
Soapstone,12/31/2022,0.17
Pecan,12/31/2022,0.17
Splash,12/31/2022,0.18
Malbec,12/31/2022,0.18
Pinot,12/31/2022,0.18
Salem,12/31/2022,0.17
Tuscan,12/31/2022,0.18
Mojave,12/31/2022,0.18
Wentworth,12/31/2022,0.19
Cupcake,12/31/2022,0.19
Rooney,12/31/2022,0.09
KerriAnn,12/31/2022,0.08
Sigma,12/31/2022,0.10
Saint,12/31/2022,0.12
Scepter,12/31/2022,0.08
Bandelier,12/31/2022,0.08
Diablo,12/31/2022,0.09
Tulip,12/31/2022,0.12
Jack,12/31/2022,0.09
Bedford,12/31/2022,0.13
Louise,12/31/2022,0.14
Gardens,12/31/2022,0.11
Peanut,12/31/2022,0.10
Chelsea,12/31/2022,0.12
Hadden,12/31/2022,0.14
Hollandaise,12/31/2022,0.10
Terracotta,12/31/2022,0.13
Avebury,12/31/2022,0.11
Otoro,12/31/2022,0.11
100,12/31/2022,0.11
Grove,12/31/2022,0.09
Lanier,12/31/2022,0.08
Mammoth,12/31/2022,0.08
McGregor,12/31/2022,0.10
Point,12/31/2022,0.10
Roxy,12/31/2022,0.08
Wisteria,12/31/2022,0.10
Heritage,12/31/2022,0.08
Heron,12/31/2022,0.09
Kirkwood,12/31/2022,0.08
Magnolia,12/31/2022,0.08
Rosewood,12/31/2022,0.08
Stonebriar,12/31/2022,0.09
Apollo,12/31/2022,0.08
Baron,12/31/2022,0.09
Madison,12/31/2022,0.09
Swift,12/31/2022,0.10
Wescott,12/31/2022,0.08
Wildwood,12/31/2022,0.09
Lannister,12/31/2022,0.09
Pearl,12/31/2022,0.10
Nugget,12/31/2022,0.09
Burlington,12/31/2022,0.09
Abbington,12/31/2022,0.09
Hines,12/31/2022,0.09
Ritter,12/31/2022,0.08
101,12/31/2022,0.08
Jake,12/31/2022,0.08
Holcomb,12/31/2022,0.08
Latte,12/31/2022,0.08
Dunbar,12/31/2022,0.08
Lookout,12/31/2022,0.08
Reynolds,12/31/2022,0.08
Kennesaw,12/31/2022,0.08
Pioneer,12/31/2022,0.07
Bazzel,12/31/2022,0.08
June,12/31/2022,0.09
Johnny,12/31/2022,0.09
Osprey,12/31/2022,0.08
Riverwalk,12/31/2022,0.09
Collier,12/31/2022,0.09
Folly,12/31/2022,0.08
Dorchester,12/31/2022,0.08
Dogwood,12/31/2022,0.09
Walton,12/31/2022,0.08
Clover,12/31/2022,0.10
Dolly,12/31/2022,0.08
Kenny,12/31/2022,0.08
Creekside,12/31/2022,0.10
Willow,12/31/2022,0.09
Wilson,12/31/2022,0.09
Daisy,12/31/2022,0.09
Henry,12/31/2022,0.09
Sodalis,12/31/2022,0.08
Loretta,12/31/2022,0.09
Conway,12/31/2022,0.09
Belle,12/31/2022,0.08
Chitwood,12/31/2022,0.09
Spring,12/31/2022,0.09
Highland,12/31/2022,0.09
Reginald,12/31/2022,0.09
Camino,12/31/2022,0.10
Richardson,12/31/2022,0.08
Cumberland,12/31/2022,0.09
Bonneau,12/31/2022,0.08
Marietta,12/31/2022,0.09
Aster,12/31/2022,0.06
Cypress,12/31/2022,0.06
Harrison,12/31/2022,0.07
Wellington,12/31/2022,0.08
Blossom,12/31/2022,0.10
Inglewood,12/31/2022,0.08
Braxton,12/31/2022,0.13
Winston,12/31/2022,0.08
Marcelo,12/31/2022,0.10
