Property Name,Escrow close
Lierly,5/4/2021
Soapstone,5/4/2021
Pecan,5/4/2021
Patrick,5/4/2021
Plumtree,5/7/2021
Chaparral,5/7/2021
Splash,10/25/2021
Tuscan,10/20/2021
Salem,10/18/2021
Malbec,10/18/2021
Pinot,10/26/2021
Luna,10/18/2021
Kingsley,10/18/2021
Shoreline,10/21/2021
Holloway,10/20/2021
Badminton,10/20/2021
Eastfair,10/20/2021
Centennial,10/21/2021
Mojave,10/18/2021
Wentworth,10/26/2021
Cupcake,10/21/2021
Basil,10/26/2021
Lallie,10/20/2021
Dewberry,10/25/2021
Spencer,10/19/2021
Summerset,10/21/2021
Roseberry,10/20/2021
Windsor,10/18/2021
Forest,1/7/2022
Meadow,1/18/2022
Collinston,1/7/2022
Saddlebred,1/14/2022
Odessa,1/27/2022
Lily,1/18/2022
Saturn,1/20/2022
Sugar,1/7/2022
Coatbridge,1/12/2022
Lennox,1/12/2022
Olive,1/12/2022
Dawson,1/20/2022
Ridge,1/7/2022
Bayside,1/12/2022
Elm,1/20/2022
River,1/12/2022
Amber,1/20/2022
Westchester,1/14/2022
Limestone,1/18/2022
Jupiter,1/14/2022
Weldon,1/10/2022
Holland,1/14/2022
Elevation,1/14/2022
Oly,2/17/2022
McLovin,2/1/2022
Matchingham,2/1/2022
Rooney,2/3/2022
Diablo,2/8/2022
KerriAnn,3/1/2022
Sigma,2/11/2022
Grant,2/11/2022
Bandelier,2/3/2022
Ensenada,2/11/2022
Davidson,2/11/2022
Vernon,2/16/2022
Murphy,2/11/2022
Dolittle,2/16/2022
Butter,2/3/2022
Ribbonwalk,2/24/2022
Scepter,2/3/2022
Delta,3/25/2022
Saint,3/9/2022
Lovejoy,3/31/2022
Emporia,3/30/2022
Wave,3/30/2022
Tuxford,3/10/2022
Greenhill,3/30/2022
Kawana,3/31/2022
Chelsea,4/6/2022
Terracotta,3/30/2022
Otoro,3/31/2022
Hollandaise,3/31/2022
Hadden,3/31/2022
Avebury,3/31/2022
Tulip,4/13/2022
Jack,4/22/2022
Bedford,4/13/2022
Louise,4/14/2022
Gardens,5/11/2022
Peanut,4/29/2022
100,6/9/2022
Grove,5/31/2022
Lanier,5/20/2022
Mammoth,5/31/2022
McGregor,6/1/2022
Point,5/31/2022
Roxy,5/19/2022
Wisteria,5/20/2022
Heron,5/25/2022
Stonebriar,5/24/2022
Heritage,5/31/2022
Magnolia,5/24/2022
Kirkwood,5/20/2022
Rosewood,5/25/2022
Apollo,6/24/2022
Baron,6/17/2022
Swift,6/24/2022
Wescott,6/24/2022
Wildwood,6/17/2022
Madison,6/14/2022
Abbington,6/17/2022
Burlington,6/24/2022
Lannister,6/17/2022
Nugget,6/24/2022
Pearl,6/17/2022
101,6/17/2022
Holcomb,6/17/2022
Hines,6/17/2022
Latte,6/17/2022
Ritter,7/6/2022
Jake,6/17/2022
